Title,Link,Published Date
Chhattisgarh: Two Cobra Jawans injured in Naxal encounter in Bijapur,https://idrw.org/chhattisgarh-two-cobra-jawans-injured-in-naxal-encounter-in-bijapur/,"May 22, 2023"
"Papua New Guinea, Fiji confer their highest civilian award to PM Modi",https://idrw.org/papua-new-guinea-fiji-confer-their-highest-civilian-award-to-pm-modi/,"May 22, 2023"
AMCA order book might swell to 200 due to SPV Model,https://idrw.org/amca-order-book-might-swell-to-200-due-to-spv-model/,"May 22, 2023"
HAL to deliver 8 Tejas Trainer aircraft to Indian Air Force this fiscal,https://idrw.org/hal-to-deliver-8-tejas-trainer-aircraft-to-indian-air-force-this-fiscal/,"May 22, 2023"
HAL plans to conclude 240 AL-31 engine orders for Sukhoi-30 MKI,https://idrw.org/hal-plans-to-conclude-240-al-31-engine-orders-for-sukhoi-30-mki/,"May 22, 2023"
"At G7, PM’s Message On “Territorial Integrity” Amid Border Row With China",https://idrw.org/at-g7-pms-message-on-territorial-integrity-amid-border-row-with-china/,"May 22, 2023"
“China Calls for Establishment of Buffer Zone within India’s Claimed Lines on Depsang Plains”,https://idrw.org/china-calls-for-establishment-of-buffer-zone-within-indias-claimed-lines-on-depsang-plains/,"May 22, 2023"
"“Chandrayaan-3 Launch Likely Scheduled for July 12, Anticipates ISRO”",https://idrw.org/chandrayaan-3-launch-likely-scheduled-for-july-12-anticipates-isro/,"May 22, 2023"
"As India decks up to hold G20 Tourism Working Group meeting in J-K, Pak FM Bilawal visits PoK",https://idrw.org/as-india-decks-up-to-hold-g20-tourism-working-group-meeting-in-j-k-pak-fm-bilawal-visits-pok/,"May 22, 2023"
Dutch politician leads fact-finding mission to Bangladesh to investigate genocide committed by Pak army,https://idrw.org/dutch-politician-leads-fact-finding-mission-to-bangladesh-to-investigate-genocide-committed-by-pak-army/,"May 22, 2023"
Life turns difficult in this India-China border village after collapse of bridge,https://idrw.org/life-turns-difficult-in-this-india-china-border-village-after-collapse-of-bridge/,"May 22, 2023"
Indian Navy and Royal Saudi Naval Force Collaborate for Maiden Afloat Training of Saudi Cadets,https://idrw.org/indian-navy-and-royal-saudi-naval-force-collaborate-for-maiden-afloat-training-of-saudi-cadets/,"May 22, 2023"
“Western Command in Punjab Demonstrates Rapid and Powerful Strike Capabilities with Next-Generation Equipment”,https://idrw.org/western-command-in-punjab-demonstrates-rapid-and-powerful-strike-capabilities-with-next-generation-equipment/,"May 22, 2023"
Kashmir Attack Plot Uncovered: G20 Delegates’ Kashmir Plan Altered,https://idrw.org/kashmir-attack-plot-uncovered-g20-delegates-kashmir-plan-altered/,"May 22, 2023"
"Banned Outfit Leader, Carrying ? 30 Lakh Bounty, Arrested From Nepal",https://idrw.org/banned-outfit-leader-carrying-%e2%82%b9-30-lakh-bounty-arrested-from-nepal/,"May 22, 2023"
2013 Patna Blast Accused Who Escaped From Custody Arrested After 10 Years,https://idrw.org/2013-patna-blast-accused-who-escaped-from-custody-arrested-after-10-years/,"May 22, 2023"
Massive Anti-Terrorist Operation On In Jammu And Kashmir’s Poonch,https://idrw.org/massive-anti-terrorist-operation-on-in-jammu-and-kashmirs-poonch/,"May 22, 2023"
"UK Yet to Initiate Investigation into Attack on Indian High Commission, Two Months On",https://idrw.org/uk-yet-to-initiate-investigation-into-attack-on-indian-high-commission-two-months-on/,"May 21, 2023"
China now interfering in J&K affairs which only Pakistan used to do. This is what BJP has done by abrogating Article 370: Mehbooba Mufti.,https://idrw.org/china-now-interfering-in-jk-affairs-which-only-pakistan-used-to-do-this-is-what-bjp-has-done-by-abrogating-article-370-mehbooba-mufti/,"May 21, 2023"
Asif: GHQ ‘attack’ orchestrated to serve India’s objectives,https://idrw.org/asif-ghq-attack-orchestrated-to-serve-indias-objectives/,"May 21, 2023"
Will Remain Just A “Talk Shop” If..: PM Modi Calls For Reform Of UN,https://idrw.org/will-remain-just-a-talk-shop-if-pm-modi-calls-for-reform-of-un/,"May 21, 2023"
Mehbooba Says She Won’t Fight Assembly Election Till Article 370 Is Restored in J&K,https://idrw.org/mehbooba-says-she-wont-fight-assembly-election-till-article-370-is-restored-in-jk/,"May 21, 2023"
“I should take your autograph…” US President Joe Biden to PM Modi,https://idrw.org/i-should-take-your-autograph-us-president-joe-biden-to-pm-modi/,"May 21, 2023"
"S Jaishankar Meets Antony Blinken, Discusses PM’s Visit To US",https://idrw.org/s-jaishankar-meets-antony-blinken-discusses-pms-visit-to-us/,"May 21, 2023"
Zelenskyy ”Bakhmut is only in our hearts” after Ukraine loses control of destroyed city to Russia,https://idrw.org/zelenskyy-bakhmut-is-only-in-our-hearts-after-ukraine-loses-control-of-destroyed-city-to-russia/,"May 21, 2023"
‘This is Kashmir where the G20 will take place’ -Arab influencer Amjad Taha’s praise for India,https://idrw.org/this-is-kashmir-where-the-g20-will-take-place-arab-influencer-amjad-tahas-praise-for-india/,"May 21, 2023"
Mecon-built integrated semi-cryogenic engine testing facility begins operation,https://idrw.org/mecon-built-integrated-semi-cryogenic-engine-testing-facility-begins-operation/,"May 21, 2023"
Reconstruction of bridge connecting India-China border in Uttarakhand to be started soon,https://idrw.org/reconstruction-of-bridge-connecting-india-china-border-in-uttarakhand-to-be-started-soon/,"May 21, 2023"
Search Operation in J-K’s Poonch After Suspicious Movement Detected,https://idrw.org/search-operation-in-j-ks-poonch-after-suspicious-movement-detected/,"May 21, 2023"
"Navy to receive INSV Tarini on May 23 after her 17,000-nm voyage",https://idrw.org/navy-to-receive-insv-tarini-on-may-23-after-her-17000-nm-voyage/,"May 21, 2023"
NIA arrests Kashmir-based Jaish-e-Mohammad operative in terror conspiracy case,https://idrw.org/nia-arrests-kashmir-based-jaish-e-mohammad-operative-in-terror-conspiracy-case/,"May 21, 2023"
Focus on suppressing SEAD air defenses in upcoming F4.2 and F5 Rafale variants,https://idrw.org/focus-on-suppressing-sead-air-defenses-in-upcoming-f4-2-and-f5-rafale-variants/,"May 21, 2023"
Light Tank-based Indigenous SPAD-GMS Platform under Consideration for Indian Army,https://idrw.org/light-tank-based-indigenous-spad-gms-platform-under-consideration-for-indian-army/,"May 21, 2023"
"HAL to Commence Work on First Tejas MkIA Aircraft Soon, Minor Delays Anticipated",https://idrw.org/hal-to-commence-work-on-first-tejas-mkia-aircraft-soon-minor-delays-anticipated/,"May 21, 2023"
"HAL concludes LSP Production of LCH Prachand, commences Phase-II",https://idrw.org/hal-concludes-lsp-production-of-lch-prachand-commences-phase-ii/,"May 21, 2023"
Air Force Grounds Entire MiG-21 Jet Fleet For Checks After Rajasthan Crash,https://idrw.org/air-force-grounds-entire-mig-21-jet-fleet-for-checks-after-rajasthan-crash/,"May 21, 2023"
“Will Be Happy To Host Quad Summit In India In 2024”: PM Modi In Japan,https://idrw.org/will-be-happy-to-host-quad-summit-in-india-in-2024-pm-modi-in-japan/,"May 21, 2023"
“Very Impressed”: Maldives Minister On Tallest Railway Bridge In Kashmir,https://idrw.org/very-impressed-maldives-minister-on-tallest-railway-bridge-in-kashmir/,"May 21, 2023"
“We Strongly Oppose…”: Quad Countries’ Thinly Veiled Swipe At China,https://idrw.org/we-strongly-oppose-quad-countries-thinly-veiled-swipe-at-china/,"May 21, 2023"
Believe India will participate in restoring rules-based international order: Zelenskyy,https://idrw.org/believe-india-will-participate-in-restoring-rules-based-international-order-zelenskyy/,"May 21, 2023"
"PM Modi Meets Rishi Sunak, Indonesia’s Joko Widodo And UN Chief In Japan",https://idrw.org/pm-modi-meets-rishi-sunak-indonesias-joko-widodo-and-un-chief-in-japan/,"May 21, 2023"
“Marginal Farmers Should Be Priority”: PM Modi’s Food Action Plan At G7 Summit,https://idrw.org/marginal-farmers-should-be-priority-pm-modis-food-action-plan-at-g7-summit/,"May 21, 2023"
Tourists allowed to visit Siachen Glacier without requiring Army permission,https://idrw.org/tourists-allowed-to-visit-siachen-glacier-without-requiring-army-permission/,"May 21, 2023"
"J&K residents urged to protest G20 meeting, disrupt Srinagar airport by Spam Calls",https://idrw.org/jk-residents-urged-to-protest-g20-meeting-disrupt-srinagar-airport-by-spam-calls/,"May 21, 2023"
Quad endorses PM Modi’s ‘not an era of war’ comment in its joint statement,https://idrw.org/quad-endorses-pm-modis-not-an-era-of-war-comment-in-its-joint-statement/,"May 21, 2023"
4 Pak Drones Intercepted Along Punjab Border In 24 Hours,https://idrw.org/4-pak-drones-intercepted-along-punjab-border-in-24-hours/,"May 21, 2023"
Houses of 5 Pakistan-Based Terrorists Raided In Jammu And Kashmir’s Doda,https://idrw.org/houses-of-5-pakistan-based-terrorists-raided-in-jammu-and-kashmirs-doda/,"May 21, 2023"
ALH Dhruv robust machine with low accident rate: HAL,https://idrw.org/alh-dhruv-robust-machine-with-low-accident-rate-hal/,"May 20, 2023"
India’s first indigenous aircraft carrier Vikrant successfully berthed at Karwar,https://idrw.org/indias-first-indigenous-aircraft-carrier-vikrant-successfully-berthed-at-karwar/,"May 20, 2023"
India Rebuffs China Asserts Sovereign Rights: “Free to Hold Meetings on Our Own Territory”,https://idrw.org/india-rebuffs-china-asserts-sovereign-rights-free-to-hold-meetings-on-our-own-territory/,"May 20, 2023"
G20 meet in Kashmir creates panic in Pakistan,https://idrw.org/g20-meet-in-kashmir-creates-panic-in-pakistan/,"May 20, 2023"
“Wrong word…” US NSA responds to question on putting pressure on India over Russia-Ukraine,https://idrw.org/wrong-word-us-nsa-responds-to-question-on-putting-pressure-on-india-over-russia-ukraine/,"May 20, 2023"
PM Modi meets Ukranian President Zelenskyy on sidelines of G7 summit in Hiroshima,https://idrw.org/pm-modi-meets-ukranian-president-zelenskyy-on-sidelines-of-g7-summit-in-hiroshima/,"May 20, 2023"
PM Modi Holds Bilateral Talks With Japanese Counterpart Fumio Kishida,https://idrw.org/pm-modi-holds-bilateral-talks-with-japanese-counterpart-fumio-kishida/,"May 20, 2023"
"India, South Korea To Deepen Ties In Trade, Defence",https://idrw.org/india-south-korea-to-deepen-ties-in-trade-defence/,"May 20, 2023"
Hiroshima Tragedy “Frightens World Even Today…”: PM Modi At Nuke Site,https://idrw.org/hiroshima-tragedy-frightens-world-even-today-pm-modi-at-nuke-site/,"May 20, 2023"
8 More Maoists Caught Over Chhattisgarh Blast That Killed 10 Policemen,https://idrw.org/8-more-maoists-caught-over-chhattisgarh-blast-that-killed-10-policemen/,"May 20, 2023"
"G20 Event Will Increase Tourism, Investments: Jammu And Kashmir Lt Governor",https://idrw.org/g20-event-will-increase-tourism-investments-jammu-and-kashmir-lt-governor/,"May 20, 2023"
"PM Modi Meets German Chancellor, Reviews Bilateral Ties",https://idrw.org/pm-modi-meets-german-chancellor-reviews-bilateral-ties/,"May 20, 2023"
Nepal PM aiming to create new history with upcoming India trip,https://idrw.org/nepal-pm-aiming-to-create-new-history-with-upcoming-india-trip/,"May 20, 2023"
Infiltration Attempt Thwarted Along LoC in J&K’s Poonch; One Terrorist Neutralized,https://idrw.org/infiltration-attempt-thwarted-along-loc-in-j-one-terrorist-neutralized/,"May 20, 2023"
Body Of Indian National Killed In Sudan Violence Brought Back To India,https://idrw.org/body-of-indian-national-killed-in-sudan-violence-brought-back-to-india/,"May 20, 2023"
DRDO to face competition from the Private sector for Next-Gen Guided Rocket,https://idrw.org/drdo-to-face-competition-from-the-private-sector-for-next-gen-guided-rocket/,"May 20, 2023"
IAF to restart hunt for VVIP Helicopters,https://idrw.org/iaf-to-restart-hunt-for-vvip-helicopters/,"May 20, 2023"
Modi-Biden meet likely to see the nod on MQ-9B predator Deal,https://idrw.org/modi-biden-meet-likely-to-see-the-nod-on-mq-9b-predator-deal/,"May 20, 2023"
DRDO light tank ‘Zorawar’ to be ready for trials by year-end along China border,https://idrw.org/drdo-light-tank-zorawar-to-be-ready-for-trials-by-year-end-along-china-border/,"May 20, 2023"
Retired IL-38SD Aircraft Gifted to Nipani Municipality in Karnataka,https://idrw.org/retired-il-38sd-aircraft-gifted-to-nipani-municipality-in-karnataka/,"May 20, 2023"
"Indian Navy’s MH-60R Multirole Helicopter Lands on INS Kolkata, Enhancing Anti-Submarine Warfare Capability",https://idrw.org/indian-navys-mh-60r-multirole-helicopter-lands-on-ins-kolkata-enhancing-anti-submarine-warfare-capability/,"May 20, 2023"
Indian Navy Locates Chinese Boat That Capsized In Indian Ocean 3 Days Ago,https://idrw.org/indian-navy-locates-chinese-boat-that-capsized-in-indian-ocean-3-days-ago/,"May 20, 2023"
“Want Normal Relations But…” PM Modi on India-Pakistan Ties,https://idrw.org/want-normal-relations-but-pm-modi-on-india-pakistan-ties/,"May 20, 2023"
India Fully Prepared To Protecting Its Sovereignty: PM On Ladakh Standoff,https://idrw.org/india-fully-prepared-to-protecting-its-sovereignty-pm-on-ladakh-standoff/,"May 20, 2023"
China opposes G20 meeting in Indian-rule Kashmir and will skip it,https://idrw.org/china-opposes-g20-meeting-in-indian-rule-kashmir-and-will-skip-it/,"May 20, 2023"
Quad leaders to hold summit in Hiroshima tomorrow: White House,https://idrw.org/quad-leaders-to-hold-summit-in-hiroshima-tomorrow-white-house/,"May 20, 2023"
Why Shanghai Cooperation Organisation has importance for India?,https://idrw.org/why-shanghai-cooperation-organisation-has-importance-for-india/,"May 20, 2023"
PM Modi Unveils Statue Of Mahatma Gandhi In Japan’s Hiroshima,https://idrw.org/pm-modi-unveils-statue-of-mahatma-gandhi-in-japans-hiroshima/,"May 20, 2023"
"Two Drones From Pak Shot Down In Punjab, 2 Packets With Drugs Recovered",https://idrw.org/two-drones-from-pak-shot-down-in-punjab-2-packets-with-drugs-recovered/,"May 20, 2023"
India repatriates 22 Pakistani nationals via Attari-Wagah border,https://idrw.org/india-repatriates-22-pakistani-nationals-via-attari-wagah-border/,"May 20, 2023"
Value of defence production crosses Rs 1 lakh-crore mark in FY 2022-23,https://idrw.org/value-of-defence-production-crosses-rs-1-lakh-crore-mark-in-fy-2022-23/,"May 19, 2023"
"India, US discuss co-producing jet engines, long-range artillery, infantry vehicles",https://idrw.org/india-us-discuss-co-producing-jet-engines-long-range-artillery-infantry-vehicles/,"May 19, 2023"
In counter Cyber attacks Indian Hackers Paralyzes Pakistan Embassy Website,https://idrw.org/in-counter-cyber-attacks-indian-hackers-paralyzes-pakistan-embassy-website/,"May 19, 2023"
Canadian Defence Minister Scheduling plans for India Visit,https://idrw.org/canadian-defence-minister-scheduling-plans-for-india-visit/,"May 19, 2023"
Navy Begins Sea Trials of Kalvari Class Submarine Vaghsheer,https://idrw.org/navy-begins-sea-trials-of-kalvari-class-submarine-vaghsheer/,"May 19, 2023"
"PM Modi, Ukraine President Zelensky May Hold Bilateral Meet In Japan: Report",https://idrw.org/pm-modi-ukraine-president-zelensky-may-hold-bilateral-meet-in-japan-report/,"May 19, 2023"
"Qatargate bribery: Does EU’s infamous scandal targeting Kashmir have Turkish, Pak roots?",https://idrw.org/qatargate-bribery-does-eus-infamous-scandal-targeting-kashmir-have-turkish-pak-roots/,"May 19, 2023"
Imran Khan says Nawaz Sharif wanted better relationship with India & Israel,https://idrw.org/imran-khan-says-nawaz-sharif-wanted-better-relationship-with-india-israel/,"May 19, 2023"
Armenia to appoint military attaché to India,https://idrw.org/armenia-to-appoint-military-attache-to-india/,"May 19, 2023"
"“We are planning Quad leaders meeting in Japan,” says Foreign Secretary Vinay Kwatra",https://idrw.org/we-are-planning-quad-leaders-meeting-in-japan-says-foreign-secretary-vinay-kwatra/,"May 19, 2023"
“Really Excited To Host PM Modi In June”: US Official,https://idrw.org/really-excited-to-host-pm-modi-in-june-us-official/,"May 19, 2023"
“Looking Forward To A Healthy Exchange Of Views”: PM On G7 Summit In Japan,https://idrw.org/looking-forward-to-a-healthy-exchange-of-views-pm-on-g7-summit-in-japan/,"May 19, 2023"
“Conspiracy To Malign…”: Rajasthan Minister On Order Against Pak Hindus,https://idrw.org/conspiracy-to-malign-rajasthan-minister-on-order-against-pak-hindus/,"May 19, 2023"
"PM Modi Leaves For Japan To Attend G7 Summit, Quad Leaders’ Meet. Details Here",https://idrw.org/pm-modi-leaves-for-japan-to-attend-g7-summit-quad-leaders-meet-details-here/,"May 19, 2023"
Global organisation of Kashmiri Pandits calls UN rapporteur’s statement on G20 meet ‘irresponsible’,https://idrw.org/global-organisation-of-kashmiri-pandits-calls-un-rapporteurs-statement-on-g20-meet-irresponsible/,"May 19, 2023"
Sources Indicate Unlikelihood of ORCA Acquisition for Indian Air Force,https://idrw.org/sources-indicate-unlikelihood-of-orca-acquisition-for-indian-air-force/,"May 19, 2023"
IAF draws up Jaguar retirement plans,https://idrw.org/iaf-draws-up-jaguar-retirement-plans/,"May 19, 2023"
INS Sindhuratna back from Russia after being Stuck Due Ukraine War,https://idrw.org/ins-sindhuratna-back-from-russia-after-being-stuck-due-ukraine-war/,"May 19, 2023"
"India supplied Rs 421 crore in arms, raw materials to Myanmar military since 2021 coup: UN report",https://idrw.org/india-supplied-rs-421-crore-in-arms-raw-materials-to-myanmar-military-since-2021-coup-un-report/,"May 19, 2023"
China using Social Media to change border narrative in India,https://idrw.org/china-using-social-media-to-change-border-narrative-in-india/,"May 19, 2023"
PLAAF beefs up fighters and Bombers on Tibetan Plateau across Indian border,https://idrw.org/plaaf-beefs-up-fighters-and-bombers-on-tibetan-plateau-across-indian-border/,"May 19, 2023"
Manipur clashes: Meitei groups draw parallel with Kashmiri Pandits; say at risk of ‘ethnic cleansing’,https://idrw.org/manipur-clashes-meitei-groups-draw-parallel-with-kashmiri-pandits-say-at-risk-of-ethnic-cleansing/,"May 19, 2023"
ISRO Likely To Launch Chandrayaan 3 In Second Week Of July: Report,https://idrw.org/isro-likely-to-launch-chandrayaan-3-in-second-week-of-july-report/,"May 19, 2023"
In Touch With US Authorities For Extradition Of 26/11 Accused: Centre,https://idrw.org/in-touch-with-us-authorities-for-extradition-of-26-11-accused-centre/,"May 19, 2023"
"40 Engagements, Over 2 Dozen World Leaders: PM Modi’s Packed 3-Nation Tour",https://idrw.org/40-engagements-over-2-dozen-world-leaders-pm-modis-packed-3-nation-tour/,"May 19, 2023"
"Army Patrol In Manipur Recover Explosives, Remote Firing Devices",https://idrw.org/army-patrol-in-manipur-recover-explosives-remote-firing-devices/,"May 19, 2023"
ADGP Jammu stresses on conducting anti-drone activities along IB,https://idrw.org/adgp-jammu-stresses-on-conducting-anti-drone-activities-along-ib/,"May 19, 2023"
"Indian Air Force sends 24,000 kg of relief material for Sudan",https://idrw.org/indian-air-force-sends-24000-kg-of-relief-material-for-sudan/,"May 19, 2023"
"LeT, ISI, D-Company Behind Rs 12,000 Cr Drug Smuggling Busted By NCB & Navy: Report",https://idrw.org/let-isi-d-company-behind-rs-12000-cr-drug-smuggling-busted-by-ncb-navy-report/,"May 19, 2023"
Coast Guard Rescues 2 Injured Indian Crew Members From Foreign Vessel,https://idrw.org/coast-guard-rescues-2-injured-indian-crew-members-from-foreign-vessel/,"May 19, 2023"
Indian Navy Warships starts getting Spanish Lanza-N Radars,https://idrw.org/indian-navy-warships-starts-getting-spanish-lanza-n-radars/,"May 18, 2023"
Final Assembly of Payloads Begins for Chandrayaan-3: ISRO Confident of Mid-July Window,https://idrw.org/final-assembly-of-payloads-begins-for-chandrayaan-3-isro-confident-of-mid-july-window/,"May 18, 2023"
India Takes Lead in Coordinating Search for Capsized Chinese Fishing Vessel with 39 Crew in Indian Ocean,https://idrw.org/india-takes-lead-in-coordinating-search-for-capsized-chinese-fishing-vessel-with-39-crew-in-indian-ocean/,"May 18, 2023"
Elite Forces Deployed in Srinagar Ahead of G20 Meeting,https://idrw.org/elite-forces-deployed-in-srinagar-ahead-of-g20-meeting/,"May 18, 2023"
Tahawwur Rana Wanted Top Pak Military Honour For 26/11 Attackers: Document,https://idrw.org/tahawwur-rana-wanted-top-pak-military-honour-for-26-11-attackers-document/,"May 18, 2023"
Sea trial of Indian Navy’s first indigenous fast interceptor boat to start in Goa on Thursday,https://idrw.org/sea-trial-of-indian-navys-first-indigenous-fast-interceptor-boat-to-start-in-goa-on-thursday/,"May 18, 2023"
"Malabar 2023: Indian Navy To Hold Naval Drills Off The Coast Of Sydney With The US, Japan And Australia",https://idrw.org/malabar-2023-indian-navy-to-hold-naval-drills-off-the-coast-of-sydney-with-the-us-japan-and-australia/,"May 18, 2023"
"Pakistan heading towards imminent disaster, may face East Pakistan-like situation: Imran Khan",https://idrw.org/pakistan-heading-towards-imminent-disaster-may-face-east-pakistan-like-situation-imran-khan/,"May 18, 2023"
Pakistan’s so-called ‘geostrategic location’ now stands as relic of bygone era: Report,https://idrw.org/pakistans-so-called-geostrategic-location-now-stands-as-relic-of-bygone-era-report/,"May 18, 2023"
"EU, India warn China against BRI projects violating sovereignty of third countries",https://idrw.org/eu-india-warn-china-against-bri-projects-violating-sovereignty-of-third-countries/,"May 18, 2023"
"India, Japan have special global partnership: Indian envoy ahead of PM Modi’s visit for G7 Summit",https://idrw.org/india-japan-have-special-global-partnership-indian-envoy-ahead-of-pm-modis-visit-for-g7-summit/,"May 18, 2023"
"India, Egypt discuss ways to strengthen bilateral defence cooperation",https://idrw.org/india-egypt-discuss-ways-to-strengthen-bilateral-defence-cooperation/,"May 18, 2023"
G-20 Summit in Kashmir set to give massive fillip to tourism sector,https://idrw.org/g-20-summit-in-kashmir-set-to-give-massive-fillip-to-tourism-sector/,"May 18, 2023"
"Suspected Terror Hideout Busted In J&K’s Poonch, Explosives Found: Police",https://idrw.org/suspected-terror-hideout-busted-in-jks-poonch-explosives-found-police/,"May 18, 2023"
"Army, Assam Rifles provide security to Manipur-bound goods trucks",https://idrw.org/army-assam-rifles-provide-security-to-manipur-bound-goods-trucks/,"May 18, 2023"
Dry Kaveri+ AB waits for the Date with LCA-Tejas,https://idrw.org/dry-kaveri-ab-waits-for-the-date-with-lca-tejas/,"May 18, 2023"
India’s SLCM to be tested from Kilo-class submarine,https://idrw.org/indias-slcm-to-be-tested-from-kilo-class-submarine/,"May 18, 2023"
IRF and SFC to be in charge of India’s Nuclear and Non-Nuclear Missiles,https://idrw.org/irf-and-sfc-to-be-in-charge-of-indias-nuclear-and-non-nuclear-missiles/,"May 18, 2023"
US “Very Keen” To Transfer Nuclear Energy Technology To India: Official,https://idrw.org/us-very-keen-to-transfer-nuclear-energy-technology-to-india-official/,"May 18, 2023"
US Court Allows Extradition Of 26/11 Accused Tahawwur Rana To India,https://idrw.org/us-court-allows-extradition-of-26-11-accused-tahawwur-rana-to-india/,"May 18, 2023"
French Defence major Safran group opens unit in Kerala,https://idrw.org/french-defence-major-safran-group-opens-unit-in-kerala/,"May 18, 2023"
"INAS 312 squadron clocks 40,000 hrs of operations: Navy",https://idrw.org/inas-312-squadron-clocks-40000-hrs-of-operations-navy/,"May 18, 2023"
